dataset,collection,auc_pr,auc_roc,corr_anom_over_norm,epochs
msl_id8,MSL,0.02,0.8015,0.9468,100
opportunity_id3,OPPORTUNITY,0.0185,0.7059,1.0394,100
msl_id8,MSL,0.0108,0.6507,0.8407,200
opportunity_id3,OPPORTUNITY,0.0083,0.3629,0.9702,200
opportunity_id6,OPPORTUNITY,0.0317,0.6892,1.0367,100
opportunity_id6,OPPORTUNITY,0.0242,0.5772,1.014,200
msl_id9,MSL,0.0312,0.5093,0.9811,100
msl_id9,MSL,0.0295,0.4716,0.9593,200
opportunity_id8,OPPORTUNITY,0.0295,0.5754,1.0131,100
msl_id12,MSL,0.0625,0.6996,2.1149,100
opportunity_id8,OPPORTUNITY,0.0189,0.4393,0.9831,200
msl_id4,MSL,0.0488,0.7482,1.2941,100
msl_id2,MSL,0.0861,0.6241,1.0507,100
msl_id12,MSL,0.0635,0.6467,2.3179,200
msl_id4,MSL,0.0487,0.7315,1.3474,200
opportunity_id1,OPPORTUNITY,0.0237,0.4155,0.967,100
opportunity_id1,OPPORTUNITY,0.0288,0.5309,1.0046,200
msl_id2,MSL,0.0712,0.5272,1.0179,200
opportunity_id2,OPPORTUNITY,0.0646,0.3223,0.9397,100
opportunity_id7,OPPORTUNITY,0.0497,0.6562,1.0382,100
opportunity_id7,OPPORTUNITY,0.0287,0.4052,0.9804,200
msl_id7,MSL,0.1626,0.7813,1.0859,100
msl_id7,MSL,0.1122,0.6528,0.9844,200
msl_id5,MSL,0.1089,0.6318,0.9155,100
opportunity_id2,OPPORTUNITY,0.0682,0.3712,0.9744,200
opportunity_id4,OPPORTUNITY,0.0471,0.5391,0.9994,100
opportunity_id4,OPPORTUNITY,0.0421,0.4591,0.9907,200
msl_id10,MSL,0.111,0.8306,2.5496,100
msl_id5,MSL,0.0822,0.5035,0.8587,200
msl_id10,MSL,0.126,0.8854,2.8749,200
msl_id14,MSL,0.1584,0.5749,1.1129,100
msl_id14,MSL,0.1495,0.5342,1.0997,200
msl_id6,MSL,0.0908,0.8133,1.138,100
msl_id6,MSL,0.052,0.6523,0.9816,200
creditcard_id1,CreditCard,0.1191,0.8858,8.2851,100
msl_id1,MSL,0.1361,0.6134,2.8484,100
msl_id1,MSL,0.1381,0.6308,2.8405,200
msl_id3,MSL,0.1431,0.7995,1.4627,100
msl_id3,MSL,0.1004,0.7017,1.4661,200
msl_id13,MSL,0.1379,0.8676,2.2889,100
creditcard_id1,CreditCard,0.1141,0.8768,9.0872,200
psm_id1,PSM,0.1341,0.5305,1.0619,100
msl_id13,MSL,0.1202,0.8124,2.3996,200
msl_id15,MSL,0.2282,0.7089,1.4638,100
msl_id11,MSL,0.1453,0.8682,1.3107,100
msl_id15,MSL,0.2279,0.7098,1.486,200
msl_id11,MSL,0.1143,0.8171,1.1976,200
psm_id1,PSM,0.1365,0.5362,1.0701,200
msl_id16,MSL,0.2471,0.8623,1.403,100
msl_id16,MSL,0.1734,0.7692,1.2441,200
swat_id1,SWaT,0.1501,0.5518,1.0041,100
swat_id1,SWaT,0.1392,0.5123,0.9918,200
tao_id5,TAO,0.992,0.9937,32.8856,100
opportunity_id5,OPPORTUNITY,0.5287,0.966,1.5804,100
opportunity_id5,OPPORTUNITY,0.4919,0.9563,1.2993,200
gecco_id1,GECCO,0.6666,0.9711,17.7259,100
tao_id4,TAO,0.9944,0.9951,32.5448,100
tao_id12,TAO,0.9945,0.9974,42.2647,100
tao_id3,TAO,0.9943,0.9953,43.079,100
tao_id3,TAO,0.9944,0.9966,46.9892,200
tao_id12,TAO,0.9942,0.9952,47.5374,200
tao_id1,TAO,0.9925,0.9944,49.1129,200
gecco_id1,GECCO,0.6164,0.9438,19.4581,200
tao_id1,TAO,0.9926,0.9955,42.0183,100
tao_id9,TAO,0.9926,0.9941,41.9904,100
tao_id9,TAO,0.9927,0.9954,47.4384,200
tao_id5,TAO,0.9922,0.9944,37.1917,200
tao_id10,TAO,0.9982,0.9984,31.5415,100
tao_id11,TAO,0.9955,0.9966,33.5591,100
tao_id2,TAO,0.9964,0.9977,28.9094,100
tao_id8,TAO,1.0,1.0,42.7514,100
tao_id6,TAO,0.9972,0.9975,27.055,100
tao_id7,TAO,0.9946,0.9957,32.1222,100
tao_id13,TAO,0.9971,0.9974,27.9905,100
tao_id13,TAO,0.9973,0.9982,31.3855,200
tao_id11,TAO,0.9955,0.9963,38.3291,200
tao_id6,TAO,0.9973,0.9979,29.9758,200
tao_id7,TAO,0.9947,0.9956,36.8769,200
tao_id4,TAO,0.9944,0.9953,36.4794,200
tao_id10,TAO,0.9981,0.9982,37.089,200
tao_id2,TAO,0.996,0.9967,30.4738,200
swat_id2,SWaT,0.1656,0.5227,1.0773,100
tao_id8,TAO,1.0,1.0,48.6789,200
swat_id2,SWaT,0.144,0.5108,1.0736,200
